People,Lat,Lon,nearest_ppv
0,2.868614641,101.6733259,0
1,2.878382755,101.6075081,44
2,2.871754109,101.5995145,44
3,3.027363093,101.6525458,2
4,2.997368248,101.6260426,19
5,2.998981784,101.7509211,92
6,3.003245141,101.7019123,40
7,2.979979068,101.660042,70
8,2.974331525,101.6818742,40
9,2.924833297,101.6790292,0
10,2.930084895,101.6327967,44
11,2.905248705,101.6631038,0
12,2.865442095,101.7079675,0
13,2.870785449,101.6637841,0
14,2.923429615,101.6874772,0
15,2.933322428,101.6213325,44
16,2.969627046,101.7295281,58
17,2.964737083,101.6546251,70
18,3.011694219,101.6921315,40
19,2.994874964,101.5954257,71
20,2.875612524,101.7194121,0
21,2.979110964,101.6978832,40
22,2.875177924,101.710808,0
23,3.023215337,101.6596454,70
24,2.957880549,101.6741585,40
25,2.899978285,101.655758,0
26,2.903958771,101.7145541,0
27,2.97867389,101.6057349,71
28,2.884191793,101.7202739,0
29,2.880562195,101.6538193,0
30,2.899348157,101.6305405,44
31,2.876504445,101.6763956,0
32,2.91271759,101.6377641,44
33,2.965066031,101.7314187,58
34,3.033170406,101.6217648,19
35,2.876050299,101.6626296,0
36,2.98033245,101.6745695,40
37,2.98247053,101.6965303,40
38,3.025388535,101.7191234,40
39,3.041366842,101.6079071,19
40,2.89689959,101.6868165,0
41,2.998588255,101.6805767,40
42,2.98363794,101.7171344,40
43,2.875714068,101.7301453,0
44,2.966687839,101.7262137,58
45,2.997984921,101.7070492,40
46,2.926404646,101.633632,44
47,2.894036896,101.6365897,44
48,2.964561169,101.6494272,70
49,3.021570387,101.6850049,40
50,2.993935253,101.6821272,40
51,2.98352282,101.6893011,40
52,2.862087154,101.596109,44
53,2.930836973,101.6708952,0
54,2.957380967,101.6090424,31
55,2.924223156,101.6709885,0
56,2.925008123,101.6925791,0
57,3.03454652,101.6974087,40
58,2.859970918,101.5924488,44
59,2.963469126,101.6148565,31
60,2.865257637,101.7171849,97
61,2.852821273,101.6004931,44
62,3.017390739,101.6383098,2
63,2.987559618,101.6155999,19
64,2.984993821,101.7060503,40
65,2.951799048,101.7012394,58
66,2.928544762,101.6787552,0
67,2.937455499,101.7077072,58
68,2.936103262,101.6412754,44
69,2.983597561,101.7057251,40
70,2.857168144,101.6706011,0
71,2.914720655,101.5935446,44
72,3.003463254,101.6433701,2
73,3.001389961,101.6640431,70
74,2.948987518,101.7115368,58
75,2.863815612,101.6035069,44
76,2.913057189,101.6172668,44
77,2.889854969,101.5953391,44
78,3.031891737,101.6994091,40
79,3.040246291,101.6305032,5
80,2.991451718,101.6140631,19
81,2.960706882,101.6426445,19
82,2.943143056,101.6172424,31
83,3.013786659,101.7117871,40
84,2.943148971,101.6369307,31
85,2.856148418,101.6282596,44
86,2.874627311,101.7114194,0
87,2.970652378,101.7283474,58
88,2.972920273,101.6929083,40
89,2.859303854,101.6691371,0
90,2.993059956,101.7432907,92
91,2.982521775,101.6500929,70
92,2.970379065,101.7139199,40
93,2.976815649,101.7398043,92
94,2.926026782,101.6704816,0
95,3.0234592,101.6245811,19
96,2.952013919,101.6520346,70
97,3.014120997,101.7396237,39
98,2.95971952,101.6295908,19
99,3.029760514,101.7455889,15
100,3.02360532,101.7260749,40
101,2.994231496,101.6521158,70
102,2.882761393,101.6234598,44
103,3.03343074,101.5942719,19
104,2.992260179,101.7033595,40
105,2.879900462,101.6794258,0
106,3.015179199,101.6694189,70
107,3.029988111,101.6651746,70
108,2.931104796,101.6335977,44
109,2.97571426,101.7491483,92
110,3.033359024,101.6941265,40
111,2.940027313,101.7245782,58
112,2.980069138,101.7494598,92
113,2.920662051,101.6001567,44
114,2.952578034,101.7073652,58
115,3.002590751,101.5953667,71
116,2.87311001,101.6810844,0
117,2.990726511,101.6907638,40
118,2.877343404,101.7383294,97
119,2.970763083,101.6004515,31
120,2.989433523,101.6809564,40
121,2.918521107,101.5924667,44
122,2.895114598,101.647959,44
123,2.913327048,101.7058794,0
124,2.882211587,101.590094,44
125,2.857150493,101.7085671,97
126,3.041502093,101.6676055,5
127,2.935869088,101.6300785,44
128,3.015044589,101.7447801,39
